"","gene","s0"
"1","SLC30A2",-0.167385286338845
"2","TINAGL1",0.334400332726456
"3","TOE1",-0.175876899741175
"4","C8B",0.176909809992575
"5","PTGER3",0.344139479541087
"6","BCL10",0.525775917290279
"7","TGFBR3",-0.429584806807093
"8","ARHGAP29",-0.297045107002195
"9","CNN3",-0.335963149409224
"10","PIFO",0.750732450301899
"11","CIART",0.385427206461057
"12","AQP10",0.382571026578918
"13","HSD17B7",0.584409885969711
"14","CENPL",-1.56238533978296
"15","PHLDA3",1.2787799268855
"16","SOX13",-0.230277859262267
"17","PPP1R15B",0.115347956529515
"18","IL24",-0.787487211364267
"19","WNT9A",0.393035287928909
"20","GCSAML",0.266082524324282
"21","OR2L13",0.132090779961484
"22","PXDN",0.451723290611276
"23","YPEL5",0.206829682732487
"24","MAT2A",0.322335122232284
"25","ZNF514",0.123507302572505
"26","ZNF2",0.200761560804745
"27","RGPD8",0.44817551781925
"28","IL36G",-0.236868609752608
"29","TMEM37",0.401528811549462
"30","LYPD1",0.710349875521882
"31","RAPGEF4",-0.275910321045045
"32","GULP1",0.110259461610643
"33","DIRC1",0.574386704251638
"34","RAPH1",-0.189763234294094
"35","SLC19A3",-0.198458393590007
"36","ACKR3",0.253728012045269
"37","CHL1",1.14345377114335
"38","ZNF385D",-0.265640361877111
"39","RBMS3",0.159171928788015
"40","TUSC2",1.0306272360639
"41","MANF",-1.58894134432485
"42","RPP14",1.04547276593542
"43","PTPRG",0.116700574590836
"44","MAGI1",-0.171063267171585
"45","GAP43",0.166834665227047
"46","RBP2",0.4346684870518
"47","IL12A",0.5012703489281
"48","OSTN",-0.214551238528276
"49","CCDC50",-0.170489540988394
"50","NCBP2",0.666532092423579
"51","LDB2",-0.304537292192817
"52","APBB2",-0.388508272370185
"53","SGCB",0.525179618086589
"54","SPATA18",-0.303618162996873
"55","PDCL2",-2.30079675533871
"56","ETNPPL",0.167083736677219
"57","PITX2",0.538357617931245
"58","CAMK2D",-0.154885597546158
"59","C4orf3",0.28252502274739
"60","SH3D19",-0.225069836558254
"61","ASIC5",0.309396320802032
"62","TDO2",0.235547057724412
"63","CTSO",-0.205599065971201
"64","HPGD",1.19652576752171
"65","C4orf47",0.736782663504897
"66","SORBS2",-0.121713932574033
"67","FAT1",-0.199553512980562
"68","C5orf49",0.643524337822925
"69","FBXL7",-0.158478247603846
"70","PRDM9",0.22091679686205
"71","TTC23L",0.75517924158705
"72","UGT3A1",0.196307777369141
"73","LIFR",-0.155905851031092
"74","MROH2B",-0.242958588284692
"75","C6",-0.143220843484861
"76","PLK2",0.101369737261301
"77","SPATA9",-1.72039196232281
"78","RGMB",-0.153970857848984
"79","MCC",-0.134045801800472
"80","HARS2",0.27089230063275
"81","PCDH1",-0.206278290625225
"82","SPRY4",0.722453547933788
"83","ADRA1B",-0.102788637657659
"84","SMIM23",-1.04733199403458
"85","RP3_369A17.6",-0.102765823655959
"86","ABT1",0.573818517210109
"87","HIST1H2BN",-0.921067006020902
"88","GLP1R",0.104310550702006
"89","COL12A1",0.253778097162853
"90","COX7A2",0.688815839726391
"91","LYRM2",0.831607835392223
"92","SLC22A16",-0.728699362785939
"93","LAMA4",0.292141267185128
"94","PTPRK",-0.130020207012289
"95","IYD",0.271501124711926
"96","ARMT1",0.343379123065268
"97","ESR1",-0.122113824440501
"98","CHCHD2",0.202441296202361
"99","ZNF680",-0.309161210005487
"100","CALCR",-0.646306285315637
"101","PON1",0.151418582287897
"102","LAMB4",0.134686312513068
"103","DOCK4",-0.295730199386414
"104","FOXP2",-0.126194172120017
"105","CADPS2",-0.137236931534223
"106","FAM131B",0.465495642440899
"107","TMEM176B",0.415362431992971
"108","MTMR7",-0.304936719066597
"109","MTUS1",-0.350285421497599
"110","FGL1",-0.140823630733728
"111","STMN4",-0.908444871612266
"112","TEX15",-0.360878911566222
"113","ANK1",0.181564252852082
"114","PEX2",0.27631416930152
"115","SDC2",-0.395705445358294
"116","FAM84B",1.07061726887649
"117","KHDRBS3",-0.217358547043276
"118","VLDLR",0.646445687771355
"119","IFNA4",-0.252265364311826
"120","APBA1",-0.141804729358104
"121","NUTM2F",-0.96438772745201
"122","PTPN3",-0.155016804558243
"123","DPM2",-1.59589367273101
"124","SKIDA1",0.405984080212166
"125","OR13A1",0.214588761239262
"126","ASAH2B",0.872118070887564
"127","FAM13C",-0.201803627206629
