"","gene","s0"
"1","TINAGL1",0.223268697412766
"2","C8B",0.145683214342057
"3","PTGER3",0.358860997593568
"4","BCL10",0.503695373288212
"5","TGFBR3",-0.441959882243788
"6","ARHGAP29",-0.287653262504367
"7","CNN3",-0.343478979892609
"8","PIFO",0.777637428833965
"9","CIART",0.343303888966074
"10","AQP10",0.323266917485019
"11","HSD17B7",0.568615570850789
"12","CENPL",-1.72206086427992
"13","PHLDA3",1.46058120997919
"14","SOX13",-0.215256803438642
"15","IL24",-0.763072324900735
"16","WNT9A",0.421054477208387
"17","GCSAML",0.246695399388185
"18","PXDN",0.448893822248278
"19","MAT2A",0.297929332162374
"20","RGPD8",0.344954194196765
"21","TMEM37",0.295450188459897
"22","LYPD1",0.708283969843551
"23","RAPGEF4",-0.216664996539552
"24","DIRC1",0.617249287811383
"25","RAPH1",-0.135339066980225
"26","SLC19A3",-0.190784600109471
"27","ACKR3",0.121701155060445
"28","CHL1",1.33461093274107
"29","ZNF385D",-0.228069580383293
"30","RBMS3",0.124984416134768
"31","TUSC2",1.03538330070729
"32","MANF",-1.71830166649885
"33","RPP14",1.04602946978745
"34","MAGI1",-0.2017206655867
"35","RBP2",0.383068580497218
"36","IL12A",0.496523907080265
"37","OSTN",-0.209479388637201
"38","CCDC50",-0.171847941835519
"39","NCBP2",0.644910603919139
"40","LDB2",-0.327551058102413
"41","APBB2",-0.378798494419546
"42","SGCB",0.496551317138708
"43","SPATA18",-0.225243401314484
"44","PDCL2",-2.67794590817719
"45","PITX2",0.550114415333352
"46","C4orf3",0.201472979101235
"47","SH3D19",-0.214672941727849
"48","ASIC5",0.282360288296537
"49","TDO2",0.200408063865517
"50","CTSO",-0.124841064710179
"51","HPGD",1.30226520678554
"52","C4orf47",0.753826476368032
"53","FAT1",-0.215431375225793
"54","C5orf49",0.722185782192554
"55","FBXL7",-0.175199124399165
"56","PRDM9",0.189979767916288
"57","TTC23L",0.755029756568581
"58","UGT3A1",0.162439907787366
"59","LIFR",-0.132666908397357
"60","MROH2B",-0.26356789798097
"61","C6",-0.122427241417765
"62","SPATA9",-1.87084286692929
"63","RGMB",-0.101635621059715
"64","MCC",-0.110399618718472
"65","HARS2",0.2582056734845
"66","PCDH1",-0.166810245582347
"67","SPRY4",0.731305280524139
"68","SMIM23",-1.09247698915329
"69","ABT1",0.463166459563228
"70","HIST1H2BN",-0.94477936289579
"71","COL12A1",0.165513178896886
"72","COX7A2",0.648179418488971
"73","LYRM2",0.821301716015269
"74","SLC22A16",-0.767319036616485
"75","LAMA4",0.147732109424952
"76","PTPRK",-0.104846907231762
"77","IYD",0.128536562048637
"78","ARMT1",0.282004489174825
"79","CHCHD2",0.134697697322743
"80","ZNF680",-0.243829172528029
"81","CALCR",-0.584702105510482
"82","DOCK4",-0.258168165297566
"83","CADPS2",-0.108067278041691
"84","FAM131B",0.446104446841696
"85","TMEM176B",0.331691391942107
"86","MTMR7",-0.272982440171486
"87","MTUS1",-0.353846487490826
"88","STMN4",-0.921659171576034
"89","TEX15",-0.283623220396355
"90","PEX2",0.155578005146972
"91","SDC2",-0.450668026826445
"92","FAM84B",1.18522960797734
"93","KHDRBS3",-0.232808114383824
"94","VLDLR",0.636340589963761
"95","IFNA4",-0.133598685735242
"96","NUTM2F",-1.00741442041816
"97","DPM2",-1.80069406075863
"98","SKIDA1",0.258185913073367
"99","OR13A1",0.160225739504277
"100","ASAH2B",0.967512692620573
"101","FAM13C",-0.194739733740153
"102","TMEM26",0.830641750572774
"103","PRF1",-0.284049248867257
"104","GHITM",0.393810747046789
"105","LIPK",0.264742924017104
"106","TBC1D12",-0.227889255059694
"107","CALHM3",-0.353578844071864
"108","PDE3B",-0.320200470896647
"109","CYP2R1",0.129461877078711
"110","MS4A5",-0.502461572355836
"111","CATSPER1",0.260760490891619
"112","CCDC90B",0.89810305917398
"113","PGR",0.157907402761135
"114","YAP1",-0.116892839386802
"115","CD27",-0.118088979047979
"116","TPI1",-1.86918603407386
"117","SLCO1B1",0.231098394871595
"118","ALG10",0.179167010513171
"119","RDH16",0.399386708336962
"120","LRIG3",-0.124226316162029
"121","NR1H4",-0.171975077052581
"122","ARL1",0.709086552950334
"123","TMEM132C",0.122408291264296
"124","RP13_672B3.2",0.32929093519207
"125","C1QTNF9B",-0.428476655212742
"126","PCDH17",0.299168567991248
"127","NDFIP2",-0.136327576809183
"128","SIX4",1.02711272960265
"129","ZFP36L1",-0.119295415444225
"130","SLC8A3",0.219920567494124
"131","SERPINA9",-0.463193325098918
"132","TJP1",-0.13453710257392
"133","LEO1",1.26252682626161
"134","TICRR",0.146478874742866
"135","ADAMTS17",-0.281705976541285
"136","ACSM5",-0.103335517425243
"137","SETD6",2.09182979652063
"138","SDR42E1",0.211055701789028
"139","HSBP1",1.17502594347936
"140","TSR1",0.851107137869537
"141","KCNAB3",-0.270557597478165
"142","ODF4",-0.604325797162024
"143","SOST",0.450715608250533
"144","COX11",0.429478499365843
"145","CSH2",-1.75306532102931
"146","ZNF396",2.26709285720546
"147","CDH19",-1.22879287341936
"148","DSEL",0.223686729469537
"149","SHD",0.533391884200715
"150","ZNF812",-1.81771513903683
"151","OR7A5",-0.356706482029275
"152","COX6B1",1.03582612342538
"153","DYRK1B",0.343847381797296
"154","SULT2A1",0.263097319500251
"155","CTB_60B18.6",-0.692379375056202
"156","SIGLEC7",-0.481847336673722
"157","ZNF320",-0.434642233289858
"158","ZNF784",0.256562171912785
"159","ZNF71",0.279704536405344
"160","ZNF460",-0.249641393455952
"161","ZNF606",0.454341855624368
"162","RP4_734P14.4",0.146036156880646
"163","BMP2",-0.712199080641078
"164","SNRPB2",0.109325029865353
"165","REM1",0.10614672700423
"166","EIF2S2",0.644645880605341
"167","SPAG4",0.317860988479516
"168","WFDC5",-0.428600327165933
"169","CDH4",-0.383181129763247
"170","N6AMT1",0.819022526859952
"171","MYO18B",-0.414337455097263
"172","RFPL3S",-0.900045659073539
"173","CACNA1I",0.261255506172333
