"","gene","s0"
"1","SLC30A2",-0.149512175855164
"2","TINAGL1",0.314618318680597
"3","TOE1",-0.150176031066649
"4","C8B",0.166267471177499
"5","PTGER3",0.32974125410676
"6","BCL10",0.497458976046865
"7","TGFBR3",-0.412482525047237
"8","ARHGAP29",-0.288053013242581
"9","CNN3",-0.319664626939293
"10","PIFO",0.728121448608361
"11","CIART",0.366582113400547
"12","AQP10",0.365718683671429
"13","HSD17B7",0.553271843539002
"14","CENPL",-1.51362825985517
"15","PHLDA3",1.23911741672822
"16","SOX13",-0.218946150803158
"17","PPP1R15B",0.103444898397788
"18","IL24",-0.756726869703819
"19","WNT9A",0.377992810383976
"20","GCSAML",0.256130952237164
"21","OR2L13",0.125643118462136
"22","PXDN",0.432424829624774
"23","YPEL5",0.191185209503008
"24","MAT2A",0.313793179843024
"25","ZNF514",0.112501830113959
"26","ZNF2",0.183482676864385
"27","RGPD8",0.431349698820445
"28","IL36G",-0.213297989829491
"29","TMEM37",0.390715372406761
"30","LYPD1",0.681865894746012
"31","RAPGEF4",-0.261112812307225
"32","GULP1",0.102545310990098
"33","DIRC1",0.553675448762044
"34","RAPH1",-0.177244320819097
"35","SLC19A3",-0.191737159178154
"36","ACKR3",0.232866711959398
"37","CHL1",1.11642552101769
"38","ZNF385D",-0.257473143305135
"39","RBMS3",0.147489683223919
"40","TUSC2",0.999080969877639
"41","MANF",-1.51957335592197
"42","RPP14",1.0085152199725
"43","PTPRG",0.11271593008994
"44","MAGI1",-0.164166441054168
"45","GAP43",0.15692769286897
"46","RBP2",0.415743595761093
"47","IL12A",0.497172459024349
"48","OSTN",-0.204708584495107
"49","CCDC50",-0.164678532598739
"50","NCBP2",0.643507388713921
"51","LDB2",-0.292247046563546
"52","APBB2",-0.370015467646752
"53","SGCB",0.504478629387966
"54","SPATA18",-0.285985572533143
"55","PDCL2",-2.22631897235358
"56","ETNPPL",0.160513815050799
"57","PITX2",0.527769569631258
"58","CAMK2D",-0.144580849753883
"59","C4orf3",0.269973416229367
"60","SH3D19",-0.212112246957631
"61","ASIC5",0.300570116681261
"62","TDO2",0.232654159545487
"63","CTSO",-0.188955273237907
"64","HPGD",1.16120818257127
"65","C4orf47",0.71281972862489
"66","SORBS2",-0.112210674725984
"67","FAT1",-0.187068838656112
"68","C5orf49",0.624565818600427
"69","FBXL7",-0.153564218843015
"70","PRDM9",0.213847204083525
"71","TTC23L",0.723751633035583
"72","UGT3A1",0.182614331556892
"73","LIFR",-0.148483835089349
"74","MROH2B",-0.233442226525964
"75","C6",-0.136646848970946
"76","SPATA9",-1.65341690182016
"77","RGMB",-0.146977142464701
"78","MCC",-0.129275456752662
"79","HARS2",0.26439823351648
"80","PCDH1",-0.195501896880979
"81","SPRY4",0.695812938335878
"82","SMIM23",-1.00538375740446
"83","ABT1",0.553461455154505
"84","HIST1H2BN",-0.892659386413449
"85","COL12A1",0.237678589375111
"86","COX7A2",0.676385864402114
"87","LYRM2",0.805694293434829
"88","SLC22A16",-0.703343263742164
"89","LAMA4",0.275093572889453
"90","PTPRK",-0.124674182437774
"91","IYD",0.255442425260905
"92","ARMT1",0.326838727620037
"93","ESR1",-0.112596570846823
"94","CHCHD2",0.193450335099357
"95","ZNF680",-0.286954305077619
"96","CALCR",-0.61903432388569
"97","PON1",0.145315066397233
"98","LAMB4",0.126383099726076
"99","DOCK4",-0.280365973658182
"100","FOXP2",-0.118083669263808
"101","CADPS2",-0.132024750365222
"102","FAM131B",0.441228914688778
"103","TMEM176B",0.390260761100121
"104","MTMR7",-0.289101784915728
"105","MTUS1",-0.334285760074504
"106","FGL1",-0.13433499218913
"107","STMN4",-0.876645670709156
"108","TEX15",-0.347668546102146
"109","ANK1",0.171387882019569
"110","PEX2",0.260128786673476
"111","SDC2",-0.379006751886539
"112","FAM84B",1.03462341553166
"113","KHDRBS3",-0.207387470983868
"114","VLDLR",0.614851820397798
"115","IFNA4",-0.241981085426264
"116","APBA1",-0.131400997391167
"117","NUTM2F",-0.934543325921436
"118","PTPN3",-0.14023394664322
"119","DPM2",-1.54741536706069
"120","SKIDA1",0.391635640394175
"121","OR13A1",0.204392222353203
"122","ASAH2B",0.848248029174295
"123","FAM13C",-0.195500584871679
"124","TMEM26",0.749519871940343
"125","PRF1",-0.312441362798791
"126","GHITM",0.39055454816338
"127","LIPK",0.295777613701755
"128","LIPN",-0.105125762584959
"129","TBC1D12",-0.255433799321049
"130","CALHM3",-0.332995638323081
"131","PDE3B",-0.304298086695878
"132","CYP2R1",0.243288842253276
"133","MS4A5",-0.590175995800056
"134","CATSPER1",0.286063148969601
"135","CCDC90B",0.767567243142749
"136","PGR",0.172815071742237
"137","YAP1",-0.136615730177797
"138","SIK2",-0.170656021665772
"139","TMPRSS13",0.137997882492899
"140","CD27",-0.263168462323715
"141","TPI1",-1.62626525794948
"142","SLCO1B1",0.250721781229998
"143","ALG10",0.1895449905717
"144","TMEM106C",-0.119545087603598
"145","PRKAG1",0.140615230331081
"146","AMHR2",-0.207513711723432
"147","RDH16",0.432061013774994
"148","LRIG3",-0.124108107950502
"149","NR1H4",-0.187023205007244
"150","ARL1",0.733569941853915
"151","TMEM132C",0.14363122659503
"152","RP13_672B3.2",0.38957405298829
"153","C1QTNF9B",-0.491425262027561
"154","PCDH17",0.289302776570516
"155","NDFIP2",-0.164620006038224
"156","FARP1",-0.136669323697252
"157","SIX4",0.889380446158005
"158","ZFP36L1",-0.214719673828604
"159","SLC8A3",0.23233219447697
"160","SERPINA9",-0.37473586557585
"161","TJP1",-0.145508721948781
"162","LEO1",1.16192426143672
"163","TICRR",0.198662666562633
"164","ADAMTS17",-0.247283830758579
"165","ZNF75A",0.138529474281663
"166","EMP2",-0.119635554944585
"167","RPS15A",0.154783530312211
"168","ACSM5",-0.129066982375711
"169","SETD6",1.84343166789526
"170","SDR42E1",0.342452354033335
"171","HSBP1",1.08786485787756
"172","TSR1",0.804231324308216
"173","KCNAB3",-0.370507618088687
"174","ODF4",-0.634651213710344
"175","CCR7",0.146501386824879
"176","SOST",0.449693399125549
"177","COX11",0.496231015350601
"178","CSH2",-1.55673736234057
"179","ZNF396",1.8769955127703
"180","CDH19",-1.07014273972426
"181","DSEL",0.332806282707075
"182","SHD",0.556991547343496
"183","ZNF812",-1.57968041467264
"184","OR7A5",-0.446531190799366
"185","ZNF626",-0.159093081104861
"186","COX6B1",0.955503563248153
"187","DYRK1B",0.38993170423384
"188","SULT2A1",0.298713627486841
"189","CTB_60B18.6",-0.729110883632602
"190","SIGLEC7",-0.48218769122385
"191","ZNF320",-0.477228636580257
"192","NLRP7",-0.226712873899062
"193","ZNF784",0.297234309197643
"194","ZNF71",0.338175006445504
"195","ZNF460",-0.288337490830878
"196","ZNF606",0.483271284249183
"197","RP4_734P14.4",0.249431611858377
"198","BMP2",-0.638802905560413
"199","ISM1",-0.103092202578542
"200","SNRPB2",0.161795744315237
"201","REM1",0.144315384782339
"202","EIF2S2",0.657434091132153
"203","SPAG4",0.347414949522386
"204","WFDC5",-0.450440262533148
"205","TSHZ2",-0.144455354346908
"206","CDH4",-0.363525000044603
"207","CXADR",0.122509618903943
"208","N6AMT1",0.830167055962286
"209","MYO18B",-0.438809507354888
"210","RFPL3S",-0.849590448212635
"211","CACNA1I",0.251650522591245
"212","EFCAB6",0.106574106475635
