"","gene","s0"
"1","SLC30A2",-0.137193863833395
"2","TINAGL1",0.333151873968068
"3","C8B",0.18983124773318
"4","PTGER3",0.453391347196572
"5","BCL10",0.651868061774337
"6","TGFBR3",-0.553793400477631
"7","ARHGAP29",-0.359680847442561
"8","CNN3",-0.460163732417789
"9","PIFO",0.904372235452105
"10","CIART",0.436856392714136
"11","AQP10",0.440159474116469
"12","HSD17B7",0.735277033785635
"13","CENPL",-1.9670522474531
"14","PHLDA3",1.68721740515474
"15","SOX13",-0.293340488381118
"16","IL24",-0.930797062791146
"17","WNT9A",0.519732459946634
"18","GCSAML",0.31144431494507
"19","OR2L13",0.13876638201377
"20","PXDN",0.559924150498924
"21","YPEL5",0.165738766986041
"22","MAT2A",0.318177280477923
"23","RGPD8",0.411406966079183
"24","IL36G",-0.182694502005402
"25","TMEM37",0.352376319430341
"26","LYPD1",0.866150109989974
"27","RAPGEF4",-0.303876235986249
"28","DIRC1",0.726207862971805
"29","RAPH1",-0.197325278932841
"30","SLC19A3",-0.212767147455879
"31","ACKR3",0.255162278766952
"32","CHL1",1.47631852251556
"33","ZNF385D",-0.278310099021835
"34","RBMS3",0.203594606971839
"35","TUSC2",1.18674984333809
"36","MANF",-2.1293220412849
"37","RPP14",1.22474218947355
"38","MAGI1",-0.228951027387236
"39","RBP2",0.508437526672563
"40","IL12A",0.495012960205466
"41","OSTN",-0.253366739387831
"42","CCDC50",-0.206633545383882
"43","NCBP2",0.765910701427539
"44","LDB2",-0.396793055033505
"45","APBB2",-0.481723640690705
"46","SGCB",0.625480072296135
"47","SPATA18",-0.31300176927775
"48","PDCL2",-3.11082699765954
"49","ETNPPL",0.106660460987819
"50","PITX2",0.620550752434913
"51","CAMK2D",-0.147847164416565
"52","C4orf3",0.267745143015668
"53","SH3D19",-0.28246216182132
"54","ASIC5",0.345013950528226
"55","TDO2",0.225464383991319
"56","CTSO",-0.21632444855734
"57","HPGD",1.51042322654892
"58","C4orf47",0.885022298127333
"59","SORBS2",-0.109085853938785
"60","FAT1",-0.284302784106227
"61","C5orf49",0.823055490958527
"62","FBXL7",-0.200338508087911
"63","PRDM9",0.233484322250856
"64","TTC23L",0.948853755054514
"65","UGT3A1",0.251830267890863
"66","LIFR",-0.185371647931731
"67","MROH2B",-0.317149562407476
"68","C6",-0.156782952793907
"69","SPATA9",-2.24965981403131
"70","RGMB",-0.131393893390988
"71","MCC",-0.138096225083342
"72","HARS2",0.289103357878243
"73","PCDH1",-0.228699440435524
"74","SPRY4",0.884792494356082
"75","SMIM23",-1.31219299665213
"76","ABT1",0.567864172329682
"77","HIST1H2BN",-1.11051294132413
"78","BMP5",-0.105817828194935
"79","COL12A1",0.261877628376731
"80","COX7A2",0.716489651476589
"81","LYRM2",0.94070057335037
"82","SLC22A16",-0.904956270677982
"83","LAMA4",0.246416416930249
"84","PTPRK",-0.124157158883957
"85","IYD",0.224445485383721
"86","ARMT1",0.379479987800294
"87","ESR1",-0.117779141585255
"88","CHCHD2",0.192575699492879
"89","ZNF680",-0.348608197158111
"90","CALCR",-0.734132615394233
"91","DOCK4",-0.341941002314383
"92","FOXP2",-0.125076394248116
"93","CADPS2",-0.130863927746178
"94","FAM131B",0.581482177207401
"95","TMEM176B",0.494168293546969
"96","MTMR7",-0.361000568949758
"97","MTUS1",-0.438087801118739
"98","FGL1",-0.120540617317564
"99","STMN4",-1.07285059068501
"100","TEX15",-0.365116857231707
"101","ANK1",0.148140463570975
"102","PEX2",0.247494165641791
"103","SDC2",-0.531231041708803
"104","FAM84B",1.4023935959322
"105","KHDRBS3",-0.275522351644094
"106","VLDLR",0.819160726857187
"107","IFNA4",-0.208836478247867
"108","NUTM2F",-1.17355338836671
"109","PTPN3",-0.162151674380712
"110","DPM2",-2.0587388187056
"111","SKIDA1",0.327142968274677
"112","OR13A1",0.191828532220594
"113","ASAH2B",1.1152108712064
"114","FAM13C",-0.214113889548007
"115","TMEM26",1.02655227993974
"116","PRF1",-0.374023883784592
"117","GHITM",0.495727993120925
"118","LIPK",0.315101736468697
"119","TBC1D12",-0.307498171557353
"120","CALHM3",-0.322270124292296
"121","PDE3B",-0.363435059968602
"122","CYP2R1",0.285819489123012
"123","MS4A5",-0.613855099946575
"124","CATSPER1",0.338968078239173
"125","CCDC90B",1.03381254218659
"126","PGR",0.216671210698492
"127","YAP1",-0.120445772613804
"128","SIK2",-0.16599034830082
"129","CD27",-0.14258659064067
"130","TPI1",-2.15944675671069
"131","SLCO1B1",0.37565032763599
"132","ALG10",0.261158640411801
"133","AMHR2",-0.141692212296741
"134","RDH16",0.486507342977133
"135","LRIG3",-0.121876599302273
"136","NR1H4",-0.209986991188532
"137","ARL1",0.894607536509581
"138","TMEM132C",0.185911891995357
"139","RP13_672B3.2",0.442229803583778
"140","C1QTNF9B",-0.571038008238807
"141","PCDH17",0.372855905507097
"142","NDFIP2",-0.193734250639623
"143","FARP1",-0.15017219158775
"144","SIX4",1.19714239044972
"145","ZFP36L1",-0.182822760235075
"146","SLC8A3",0.28428174425378
"147","SERPINA9",-0.56812294135321
"148","TJP1",-0.191126534334381
"149","LEO1",1.5779025937359
"150","TICRR",0.255447775977891
"151","ADAMTS17",-0.361849233725289
"152","EMP2",-0.128181224273938
"153","ACSM5",-0.134650362774825
"154","SETD6",2.49878505644778
"155","SDR42E1",0.395766341621949
"156","HSBP1",1.36337490145095
"157","TSR1",1.10972177932368
"158","KCNAB3",-0.35190511710374
"159","ODF4",-0.713716516038859
"160","SOST",0.518205562493567
"161","COX11",0.484938393602741
"162","CSH2",-1.9506881962608
"163","ZNF396",2.61174900267271
"164","CDH19",-1.44019303139504
"165","DSEL",0.202520230346619
"166","SHD",0.639748610701061
"167","ZNF812",-2.10350715261911
"168","OR7A5",-0.51688787848517
"169","ZNF626",-0.167667664123916
"170","COX6B1",1.18734268712391
"171","DYRK1B",0.465697773616539
"172","SULT2A1",0.336629033966746
"173","CTB_60B18.6",-0.889080619825413
"174","SIGLEC7",-0.598411234635676
"175","ZNF320",-0.508463373883644
"176","NLRP7",-0.142136165042606
"177","ZNF784",0.355052289243418
"178","ZNF71",0.368262475717611
"179","ZNF460",-0.363842837612664
"180","ZNF606",0.521638611624712
"181","RP4_734P14.4",0.194227231910164
"182","BMP2",-0.871680211088196
"183","SNRPB2",0.177285402884588
"184","REM1",0.150237346318656
"185","EIF2S2",0.809600826505091
"186","SPAG4",0.387963788711864
"187","WFDC5",-0.58621182908541
"188","TSHZ2",-0.127971854586691
"189","CDH4",-0.457311255122017
"190","N6AMT1",0.968850900356793
"191","MYO18B",-0.533523140000677
"192","RFPL3S",-1.04601490868936
"193","CACNA1I",0.329284786263814
