"","gene","s0"
"1","SLC30A2",-0.114667274987899
"2","TINAGL1",0.309526996454739
"3","C8B",0.187095122548233
"4","PTGER3",0.435433334302324
"5","BCL10",0.625606580170533
"6","TGFBR3",-0.528662571981414
"7","ARHGAP29",-0.342024375835913
"8","CNN3",-0.432383391434371
"9","PIFO",0.880525924316293
"10","CIART",0.421777001160195
"11","AQP10",0.414551406392285
"12","HSD17B7",0.710350527870807
"13","CENPL",-1.92495049921053
"14","PHLDA3",1.64918251243496
"15","SOX13",-0.27091077371575
"16","IL24",-0.899961545580828
"17","WNT9A",0.495131905384725
"18","GCSAML",0.291703851418415
"19","OR2L13",0.12525350047765
"20","PXDN",0.53856517623795
"21","YPEL5",0.157585450519616
"22","MAT2A",0.31397156395613
"23","RGPD8",0.396191844767709
"24","IL36G",-0.164650671720964
"25","TMEM37",0.34899354212122
"26","LYPD1",0.845220217495766
"27","RAPGEF4",-0.28533364411607
"28","DIRC1",0.703389945954564
"29","RAPH1",-0.183388769803333
"30","SLC19A3",-0.210373542010056
"31","ACKR3",0.22933906834423
"32","CHL1",1.44413007547438
"33","ZNF385D",-0.268372140296505
"34","RBMS3",0.186011946459636
"35","TUSC2",1.15179836404801
"36","MANF",-2.04721988562656
"37","RPP14",1.1894128589778
"38","MAGI1",-0.230490006568418
"39","RBP2",0.478820624782041
"40","IL12A",0.496244873231569
"41","OSTN",-0.249398303157941
"42","CCDC50",-0.204265095064188
"43","NCBP2",0.74437053832672
"44","LDB2",-0.38682335985697
"45","APBB2",-0.463783129653568
"46","SGCB",0.59676864273617
"47","SPATA18",-0.299086612850677
"48","PDCL2",-3.02314666189918
"49","PITX2",0.604083277337822
"50","CAMK2D",-0.138896915252538
"51","C4orf3",0.251458540330931
"52","SH3D19",-0.276089629543557
"53","ASIC5",0.330501542484905
"54","TDO2",0.215762901167867
"55","CTSO",-0.201257862044917
"56","HPGD",1.46648613495442
"57","C4orf47",0.855023096188424
"58","SORBS2",-0.102652372158506
"59","FAT1",-0.277107663870555
"60","C5orf49",0.803485040430615
"61","FBXL7",-0.195281155785174
"62","PRDM9",0.220797775787819
"63","TTC23L",0.90952611707455
"64","UGT3A1",0.236994846984911
"65","LIFR",-0.176499439989301
"66","MROH2B",-0.305635090914252
"67","C6",-0.147017880628018
"68","SPATA9",-2.17571452951145
"69","RGMB",-0.120490174137697
"70","MCC",-0.130851652233111
"71","HARS2",0.286540103193324
"72","PCDH1",-0.217165088192428
"73","SPRY4",0.856044014155063
"74","SMIM23",-1.27066921649784
"75","ABT1",0.547232028890473
"76","HIST1H2BN",-1.08102535603435
"77","COL12A1",0.247187226735857
"78","COX7A2",0.711724729610227
"79","LYRM2",0.925077292731503
"80","SLC22A16",-0.87863651761778
"81","LAMA4",0.226826894263589
"82","PTPRK",-0.112146869225797
"83","IYD",0.213611664877955
"84","ARMT1",0.374856048354453
"85","CHCHD2",0.183396604887443
"86","ZNF680",-0.320400677521664
"87","CALCR",-0.704392856730627
"88","DOCK4",-0.318260957142841
"89","FOXP2",-0.109419500110706
"90","CADPS2",-0.118847040485814
"91","FAM131B",0.549105889696559
"92","TMEM176B",0.468051135689196
"93","MTMR7",-0.33669100754857
"94","MTUS1",-0.415671173776668
"95","FGL1",-0.109615814478904
"96","STMN4",-1.04928082490638
