"","gene","s0"
"1","PTGER3",0.351221338219022
"2","BCL10",0.467920012430613
"3","TGFBR3",-0.449879268819421
"4","ARHGAP29",-0.255216704333018
"5","CNN3",-0.368826606388672
"6","PIFO",0.760520636008033
"7","CIART",0.224262831861918
"8","AQP10",0.212974508978784
"9","HSD17B7",0.510361568784308
"10","CENPL",-1.95613145060301
"11","PHLDA3",1.64884249695274
"12","SOX13",-0.115578639027334
"13","IL24",-0.714391968186213
"14","WNT9A",0.475661102412197
"15","GCSAML",0.182699939908272
"16","PXDN",0.376154985040192
"17","MAT2A",0.19511414949862
"18","RGPD8",0.117686881047484
"19","LYPD1",0.613889974882908
"20","RAPGEF4",-0.129191798496048
"21","DIRC1",0.69185136816254
"22","SLC19A3",-0.214285215532578
"23","CHL1",1.61239953781974
"24","ZNF385D",-0.148406650077861
"25","TUSC2",1.09774089527412
"26","MANF",-1.82498136989607
"27","RPP14",1.00982931240372
"28","MAGI1",-0.251170791035551
"29","RBP2",0.258419992216264
"30","IL12A",0.471388655058194
"31","OSTN",-0.23013434587661
"32","CCDC50",-0.132194870534054
"33","NCBP2",0.485890844050441
"34","LDB2",-0.354355631322202
"35","APBB2",-0.33173785786253
"36","SGCB",0.392225882508418
"37","PDCL2",-3.32367625218153
"38","PITX2",0.60074599940977
"39","SH3D19",-0.176027513998607
"40","ASIC5",0.168334534292311
"41","HPGD",1.37210840988161
"42","C4orf47",0.696292583668286
"43","FAT1",-0.274483118915199
"44","C5orf49",0.786006139492894
"45","FBXL7",-0.205097254177773
"46","TTC23L",0.679255517747191
"47","MROH2B",-0.305139525783422
"48","SPATA9",-2.06454270145222
"49","RGMB",-0.101752475220436
"50","HARS2",0.206304951929029
"51","SPRY4",0.699305143159802
"52","SMIM23",-1.02288127162325
"53","ABT1",0.245391450751385
"54","HIST1H2BN",-0.886257422339171
"55","COX7A2",0.461479911464886
"56","LYRM2",0.710992311046262
"57","SLC22A16",-0.757010674781782
"58","ARMT1",0.190989988571043
"59","CALCR",-0.465186803451193
"60","DOCK4",-0.171609286710132
"61","FAM131B",0.357376310343954
"62","TMEM176B",0.156899152468166
"63","MTMR7",-0.155585925712851
"64","MTUS1",-0.356886150797581
"65","STMN4",-0.917305999005344
"66","SDC2",-0.553665182418528
"67","FAM84B",1.27229273004772
"68","KHDRBS3",-0.297538015407851
"69","VLDLR",0.556872054101365
"70","NUTM2F",-1.03832061704026
"71","DPM2",-2.16163077861017
"72","ASAH2B",1.18242758440102
"73","FAM13C",-0.17455136127364
"74","TMEM26",0.808457378253408
"75","PRF1",-0.127224548874534
"76","GHITM",0.398781279475642
"77","LIPK",0.122921795367954
"78","TBC1D12",-0.134940425949677
"79","CALHM3",-0.42249623222407
"80","PDE3B",-0.320141340515286
"81","MS4A5",-0.254581407201248
"82","CATSPER1",0.160187177233479
"83","CCDC90B",1.03726234409822
"84","PGR",0.18250945653342
"85","TPI1",-2.16805886166172
"86","ALG10",0.120171601072458
"87","RDH16",0.364664234746861
"88","LRIG3",-0.113258664130998
"89","NR1H4",-0.118033365051921
"90","ARL1",0.53485870598407
"91","RP13_672B3.2",0.144935393247809
"92","C1QTNF9B",-0.248412323863918
"93","PCDH17",0.223051755224168
"94","SIX4",1.20181840161402
"95","SLC8A3",0.112664503812965
"96","SERPINA9",-0.488231974113393
"97","LEO1",1.2420901666172
"98","ADAMTS17",-0.307634077008467
"99","SETD6",2.38038049378652
"100","HSBP1",1.15010324496313
"101","TSR1",0.823644843097131
"102","ODF4",-0.46888557542854
"103","SOST",0.421592691120386
"104","COX11",0.216333501752431
"105","CSH2",-1.99173672043369
"106","ZNF396",2.75162965414508
"107","CDH19",-1.46581641433543
"108","SHD",0.436383377453175
"109","ZNF812",-2.1374836555757
"110","OR7A5",-0.103233284086834
"111","COX6B1",1.13815713694668
"112","DYRK1B",0.225286447999535
"113","SULT2A1",0.125795312807567
"114","CTB_60B18.6",-0.484643845573427
"115","SIGLEC7",-0.386818786959491
"116","ZNF320",-0.313285105844911
"117","ZNF71",0.109998659430802
"118","ZNF460",-0.133991642718991
"119","ZNF606",0.342947685101613
"120","BMP2",-0.748078116931733
"121","EIF2S2",0.546568213227902
"122","SPAG4",0.156915476286302
"123","WFDC5",-0.244897559919211
"124","CDH4",-0.360822248574195
"125","N6AMT1",0.623460525936971
"126","MYO18B",-0.287714324178635
"127","RFPL3S",-0.878865826624297
"128","CACNA1I",0.210399022316563
