FAM84B
CIART
ABT1
PTRHD1
RPP14
GNL3
CCDC163P
TTC23L
GSTA1
CHL1
CCZ1B
COX7A2
MAGOHB
GHITM
ODF4
RFPL3S
NUTM2F
CCZ1
CSH2
DHRS7C
ZNF812
C17orf64
PDCL2
MRPL54
CYP4B1
RSAD1
TPI1
