CSH2
SLC35D3
ZNF812
RFPL3S
RLN3
LTA
ZNF385D
CMTM5
NUTM2F
GYPB
EPGN
PDCL2
REM1
DMBX1
NPIPA5
MYO18B
C8orf22
ODF4
CDH4
CD27
LAMP5
OR52A1
SPATA9
CALHM3
DPPA3
SMIM23
ZFP36L1
WNT9A
SLC5A7
IL37
DPM2
AQP10
INSL3
ALG10
EFCAB3
GYPA
ACAN
AMBN
CCDC157
ST8SIA5
STMN4
CCL3
CTB_60B18.6
DEFB124
PRF1
RP5_966M1.6
MOBP
CDH19
TRIM63
HEATR9
C1QTNF9B
PVALB
PRIMA1
SEMA4F
TEX36
CDH9
TMPRSS13
SIGLEC6
TPI1
IFNA4
ZNF320
SLC30A2
ZNF804A
SULT4A1
OR13A1
KLHDC8B
IL24
IL36G
MS4A18
P2RX6
MANF
ATP13A4
LIPK
ANK1
OR8S1
SPERT
OR7A5
LIPN
TOE1
SLC8A3
TMEM106C
GPRC5D
GCSAML
CATSPER1
OTOP2
LY9
TC2N
RP3_369A17.6
PTGS2
WFDC5
RET
DNAJB1
PRSS38
CENPL
COL2A1
EFCAB6
MS4A5
NLRP7
CABP4
CACNA1I
HIST1H2BN
RSPH6A
PTGER3
SIGLEC7
OR2L13
TICRR
AMHR2
SCN11A
BRSK1
GLRB
RAD51AP1
NTF4
GLP1R
DNAI2
SLC22A16
METTL24
TEX15
FAM131B
KCNAB3
CALCR
SPTBN1
LIMCH1
SAP18
ITGA1
ZNF460
CAV1
SMURF2
FAM110B
TINAGL1
SIK2
ZEB1
G6PC
EIF2S2
RP13_672B3.2
TTC23L
SETD6
SDR42E1
RBP2
CCDC90B
YPEL5
ANKRD50
METTL14
SHD
HSBP1
WLS
SH3BP4
CX3CL1
COX6B1
RPL7A
PRDM6
PRKAG1
C4orf3
CTSL
PLEKHG1
CTD_2535L24.2
SHFM1
SPON1
APBA1
SEC16B
TUSC2
ZNF396
SKP1
CYP46A1
LRP2BP
LAMB4
ARHGAP29
TBC1D12
RAPGEF4
SAMD12
ZNF2
ZNF514
RPS15A
ELMOD1
LEO1
DOCK4
PURA
APBB2
ABT1
NINL
LMCD1
CYP2R1
ACKR3
PPP1R15B
ADRA1B
LRP6
ZNF626
LAMA4
ZNF608
STC2
FGL1
BCAS2
GAP43
PHLDA1
CXADR
RGPD8
C5orf49
SNCAIP
NCALD
SOST
DYRK1B
BCL10
SMIM14
SUCLG2
COX11
CCR7
RP4_734P14.4
ZNF532
FAT3
PTGR1
IMP3
SFRP1
FERMT2
CHCHD2
NTRK2
ZNF75A
NALCN
TENM4
MTUS1
ZNF71
NEK10
MUT
DOCK9
RPP14
SMOC1
FLRT2
ZNF680
FARP1
NCBP2
HSD17B7
GALNT18
FMO4
SEPT10
CCBE1
STEAP2
TSR1
RORA
DDX18
PTPRG
ZNF784
PEX2
EPB41L4B
FAM171A1
PCDH1
EML1
OTX1
CRYBG3
CAMK2D
MUL1
ZNF606
SMOC2
SHROOM3
ROBO1
WWTR1
FBXO17
OXA1L
BNC2
SPTLC3
PON1
HARS2
MAT2A
C1orf168
ASAH2B
ASIC5
EFCAB1
PARVA
TLE1
GHITM
VLDLR
NR3C2
CTSO
NOVA2
GULP1
SNRPB2
PALM2_AKAP2
DSEL
CTD_3105H18.14
GHR
AGAP1
SORBS2
IYD
PDZRN3
PTPN3
TMEM26
CNN3
SGCB
MTMR7
PIFO
PLK2
TMEM176B
LRIG1
BMPER
TSHZ2
SIX4
RAPH1
CYP4F12
ESR1
CXCL12
SDC2
SATB2
EPB41L4A
TMEM37
C2orf72
KAZALD1
SKIDA1
NDFIP2
ARHGAP42
ZNF324
C4orf47
MCC
CCDC50
LYRM2
NRP1
THSD7A
SOX13
TGFBR3
SH3D19
ADAMTS17
EMP2
GLIS3
PDE3B
FGF14
RDH16
SAMD5
SPATA18
COX7A2
DIRC1
KBTBD7
N6AMT1
PHLDA3
TPRG1
ADAMTS9
CCL15_CCL14
ARL1
KITLG
UTS2B
TJP1
C7
OSTN
ETNPPL
SNX7
ARHGAP28
OSMR
FRK
CIART
BMP2
RHOJ
ARMT1
SULT2A1
COLEC10
RNF152
ADAMTS16
PON3
THSD4
COL12A1
MYO1B
ENPP1
NR1H4
SPRY4
PGR
PXDN
SPAG4
ACSM5
LARGE
GPR39
GATA6
ZNF91
ALDOB
TDO2
EYA4
DSC2
FAM84B
PTPRM
FGFR2
LIFR
MYO6
IL12A
TMEM99
SERPINA12
DACT2
PITX2
RGMB
PTPRK
INSC
TUSC3
PALMD
CADPS2
RBMS3
ADAMTSL1
FAM13C
CDH2
FOXP2
ISM1
AGXT2
TBX15
HAO2
TMEM132C
EYA1
BMP5
HIC1
NUAK1
TEAD1
APOB
HPGD
ZFHX4
LDB2
MEIS2
YAP1
PID1
TBX2
SLC19A3
ARSJ
TNFRSF11B
PRDM9
FOLH1
PROX1
ADGRL2
MROH2B
LRIG3
SLC22A3
IGF1
PAH
SERPINA9
KHDRBS3
UGT3A1
SOX5
FBXL7
FAT1
RND3
RAI14
C8A
SLCO1B1
C8B
CADM1
CHL1
PCDH17
LYPD1
CDH11
MAGI1
TOX3
C6
KCNN2
FMO3
SLC7A2
GREM2
ACSM2A
NCKAP5
